# id	kind	status	description
# kind is false-positive or false-negative; status is open or closed.
FP-001	false-positive	closed	Modular diff scanning missed calls that crossed formal in/out modes — fixed with formal-mode-aware call scanning; regression: verification_diff_modular_call.adb.
FP-002	false-positive	closed	Redundant_Boolean_Comparison fired on a same-named enum literal instead of Standard.True/False — fixed by requiring the operand's type to resolve to Standard.Boolean; regression: redundant_boolean_comparison_clean.adb.
FP-003	false-positive	closed	Dead_Store/Overwritten_Assignment/Repeated_Statement flagged writes to Volatile/Atomic/Address-clause hardware registers — fixed by exempting externally-observable objects; regression: volatile_register_writes_clean.adb.
FP-004	false-positive	closed	Global/Depends/SPARK-readiness checks ignored an inherited SPARK_Mode => Off from an enclosing scope — fixed by walking up to that enclosing scope; regression: spark_mode_off_global_clean.adb.
FP-005	false-positive	closed	Uninitialized_Output missed writes made via a nested subprogram's own Global contract listing the parameter as Output — fixed by consulting the callee's Global contract; regression: uninitialized_output_nested_call_clean.adb.
FP-006	false-positive	closed	Depends contracts mishandled combined-output syntax "(A, B) => C", parsed as a nested aggregate — fixed by expanding that aggregate's associations; regression: depends_combined_output_clean.adb.
FP-007	false-positive	closed	Uninitialized_Output flagged composite out parameters initialized field-by-field or element-by-element — fixed by unwrapping selected/indexed component prefixes; regression: uninitialized_output_composite_clean.adb.
FP-008	false-positive	closed	Uninitialized_Output flagged out params forwarded positionally to an overloaded sibling when precise overload resolution failed — fixed by adding a lenient position-based fallback; regression: uninitialized_output_overloaded_forward_clean.adb.
FP-009	false-positive	closed	Uninitialized_Output flagged scalar out params written unconditionally inside statically non-empty `for` loops — fixed by trusting the body's result when bounds are static and escape-free; regression: uninitialized_output_static_loop_clean.adb.
FP-010	false-positive	closed	The FP-009 fix over-trusted a single indexed array write as covering the whole array — fixed by requiring a proven full-index-range write before trusting it; regression: uninitialized_output_array_loop_subtype_clean.adb.
FP-011	false-positive	closed	Uninitialized_Output flagged an out parameter written via its own subprogram-name qualification ("Subp_Name.Param := ...") — fixed by recognizing that qualifier pattern; regression: uninitialized_output_own_name_qualifier_clean.adb.
FP-012	false-positive	closed	Uninitialized_Output missed writes to out params forwarded as named actuals when Libadalang's resolution failed — fixed by adding a named-actual fallback resolver; regression: uninitialized_output_named_actual_forward_clean.adb.
FP-013	false-positive	closed	Uninitialized_Output flagged out params initialized only via a parameterless prefixed call like "Queue.Clear;" — fixed by recognizing Dotted_Name call statements as writes; regression: uninitialized_output_prefixed_clear_clean.adb.
FP-014	false-positive	closed	Wrong_Parameter_Mode recommended mode "out" for in-out parameters written only through a selected/indexed component — fixed by requiring a whole-object write for that recommendation; regression: wrong_parameter_mode_partial_write_clean.adb.
FP-015	false-positive	closed	Uninitialized_Read misread an unrelated attribute like "Data'Last" as a read of a same-named local variable — fixed by excluding attribute designators from declaration matching; regression: uninitialized_read_attribute_designator_clean.adb.
FP-016	false-positive	closed	Dead_Store flagged writes through a renaming of a longer-lived parameter/global field as dead — fixed by tracing the renamed object back to its base declaration; regression: dead_store_renaming_of_parameter_field_clean.adb.
FP-017	false-positive	closed	Uninitialized_Read flagged reads inside a nested subprogram as preceding the enclosing subprogram's real initializing write, due to a purely textual AST walk — fixed by skipping recursion into nested subprogram/entry bodies; regression: uninitialized_read_nested_subprogram_order_clean.adb.
FP-018	false-positive	closed	Uninitialized_Read missed genuine initializations via out/in-out actuals when Libadalang couldn't resolve the call — fixed by adding the same fallback resolvers used for Uninitialized_Output; regression: uninitialized_read_positional_forward_clean.adb.
FP-019	false-positive	closed	Uninitialized_Read still misfired when even the fallback resolution failed in a deeper batch-provider context — fixed by treating an unresolved call's actual as an unknown boundary instead of continuing the scan; regression: uninitialized_read_unresolved_call_clean.adb.
FP-020	false-positive	closed	--verify's initialization check misclassified renamings, defaulted composites, and address overlays as Definite_Error — fixed by propagating renaming state and handling address-clause objects conservatively; regression: verification_initialization_defaults_clean.adb.
FP-021	false-positive	closed	Uninitialized_Output/Read flagged out params forwarded to a same-named sibling overload whenever one overload had a System.Address formal, due to misresolution — fixed by adding an arity-based candidate search; regression: uninitialized_output_overload_arity_fallback_clean.adb.
FP-022	false-positive	closed	Uninitialized_Read flagged Import-aspect scalar overlays (populated by DMA/driver code, not Ada) as read before assignment — fixed by exempting externally-observable declarations; regression: uninitialized_read_import_overlay_clean.adb.
FP-023	false-positive	closed	Uninitialized_Read missed an initializing write made via an out actual of a function called inside a larger expression — fixed by recursing into the RHS for call-based write detection; regression: uninitialized_read_function_out_actual_clean.adb.
FP-024	false-positive	closed	Uninitialized_Read misread a called function's named-actual formal designator sharing a local variable's spelling as a self-read — fixed by excluding Param_Assoc designators from declaration matching; regression: uninitialized_read_named_actual_designator_clean.adb.
FP-025	false-positive	closed	Wrong_Parameter_Mode recommended mode "in" for an in-out parameter actually written via a function call nested in an expression — fixed by recursing into the RHS for write detection; regression: wrong_parameter_mode_call_in_expression_clean.adb.
FP-026	false-positive	closed	The analyzer's own "when others => null;" handler tripped its own Empty_Exception_Handler/Exception_Swallowed checks under self-analysis — fixed by replacing it with a logging call; a style fix with no dedicated fixture.
FP-027	false-positive	closed	Uninitialized_Output/Read and related checks missed reads/writes made through an access-to-subprogram-typed component or discriminant call — fixed by resolving the indirect callable's own profile before the arity fallback; regression: access_to_subprogram_actuals_clean.adb.
FP-028	false-positive	closed	Uninitialized_Read flagged a variable named in "pragma Unreferenced (X);" right after its declaration as a read — fixed by excluding Unreferenced/Unmodified/Warnings pragma arguments from declaration matching; regression: uninitialized_read_pragma_unreferenced_clean.adb.
